,pdb1,pdb2,rmsd_h12,rmsd_l12,engineered_1,engineered_2
0,4qf1,5it2,3.8579321695696,6.388091084646508,True,True
1,4jpi,6srx,4.317127470854825,9.512222907039645,True,False
2,6qcu,6tkf,4.135672864125317,0.7830135806675695,True,False
3,6b6z,7lyv,3.3812228149900703,11.976233616762546,True,True
4,5vz1,6tke,3.058452642817831,18.82729411715435,True,False
5,4wuk,5xrq,2.8027553842853687,8.13277821951371,True,True
6,4fnl,5i18,16.624381919901563,12.96586861114081,True,True
7,3ncj,5ty6,8.024481370751086,1.7501794016510002,True,True
8,5tjd,6pzg,7.822118079522962,4.30326259859719,True,True
9,4nwu,6yxl,7.765213646046707,11.42442185298322,True,False
10,4hk3,5it2,3.3293514098915535,4.471877881256918,True,True
11,3f12,4jy6,14.962461133251525,15.46134782125889,True,True
12,3aaz,5wcd,5.606441781836765,11.308582280866377,True,True
13,4yhy,6ca6,12.706364593064178,11.562205909137838,True,True
14,4r7d,6dcv,5.40651444439946,12.958021921343146,True,True
15,6o3k,6wyr,6.806305885330713,8.243935007834573,True,True
16,5od8,6vpy,6.8254906245357185,6.534108577736839,True,True
17,3u4b,4hqq,10.834333807968997,4.681125112098074,True,True
18,6rcq,7o4y,7.102182831817448,6.169801766404817,True,True
19,4jdv,7kgu,7.500490804253245,7.5332060302732,True,True
20,1igm,5i1c,3.767553836916269,5.456963786048833,True,True
21,1jpt,6tcq,5.330382769440671,9.569532299138682,True,True
22,3tnn,7cu7,2.969395735693754,5.824627371271782,True,True
23,5trp,6srx,4.21626448772711,11.089587930013211,True,False
24,3qo1,5v7r,4.162693460453595,9.477567023327966,False,True
25,1fgv,6w5d,2.6555330833998756,6.9052429565029945,True,True
26,4lri,5wca,4.703102938071178,11.742340926253306,True,True
27,3nac,5nyx,3.200984612620682,3.0797604316579967,True,True
28,1vge,5i1h,4.75485319502611,3.3373107930140056,True,True
29,5ud9,6tul,10.69119508491684,14.254020965274877,True,False
30,6oc7,6phh,10.093970682572097,12.404410225463296,True,True
31,3eyq,7lud,4.000148373712999,11.239860238158283,True,True
32,2pr4,5bk5,10.483293163261008,11.613758489623272,False,True
33,3n9g,5drx,4.910783236123083,9.366217251245233,True,True
34,3qnx,5k9j,11.732148257432438,9.541010301959508,False,True
35,1ucb,6srv,1.8618702728938816,5.221659797004474,True,False
36,6oed,7mfa,11.21591686023149,8.282791057743564,True,True
37,5jrp,6tke,7.73366316168719,6.486493058841327,True,False
38,2vxv,4o5l,9.035137031162007,5.200685382819515,True,True
39,3f12,7lyv,7.165124410120176,15.743817437541022,True,True
40,5i1c,6rlm,3.714858487746791,11.476547131166804,True,True
41,5jo5,6avn,5.571467578346167,8.942660968597934,True,True
42,1vge,2zkh,7.188128912702179,3.8281784386403293,True,True
43,6dcv,6yxl,3.4947036167807743,11.517709408351461,True,False
44,2zkh,4kq3,6.0896551947236714,3.610918511453641,True,True
45,3n9g,7cu7,6.701042217213304,5.440685404141947,True,True
46,4fql,4gw4,7.168940167486404,17.68417901310617,True,True
47,3u1s,5itb,20.094518647817868,9.54743227641317,True,True
48,4hh9,5i1d,8.875465161665472,12.633396235517633,False,True
49,5mp6,5tjd,10.24177471040786,10.750972957885306,True,True
50,6qbc,6tkb,4.9878327544072185,7.032807398730635,True,False
51,4fze,4ptt,6.593239242658915,8.187975885077503,True,True
52,3ncj,6apc,2.5313267494151535,7.317205452240398,True,True
53,3naa,7bm5,19.11166773858315,19.862443025526012,True,True
54,4jdv,6dlb,4.683766481906549,8.062227145539818,True,True
55,6dla,8fab,5.727151274302958,5.621305642619659,True,False
56,6tkb,6wyr,5.546149644474647,6.971238984559329,False,True
57,4ut7,5ty6,4.518967458892711,11.459947186080148,True,True
58,5jw5,6u8c,11.954023659028996,9.753451628724122,True,True
59,5uix,6xul,7.10457351596491,6.158624320663939,True,True
60,3naa,5v7r,4.124899827145427,3.984869189815945,True,True
61,4fq2,6gfe,11.254071138370328,14.320482153782052,True,True
62,5cey,5ifa,12.275128643037718,16.460895927716525,True,True
63,3u7w,5tfs,8.07128330922738,5.610418410773121,True,True
64,5cd3,7o4y,7.616112007407389,7.942976173039135,True,True
65,3u7w,4qhn,5.804726825236912,7.847572361291386,True,True
66,3eyo,4gxv,7.055350432583948,4.824622170782264,True,True
67,4jpi,5i1c,3.1745761666544756,8.871581722649719,True,True
68,5aze,7km6,4.432577457859239,19.21878875564509,True,False
69,3qeh,5iie,3.9827250873106657,10.702854366861773,False,True
70,4yhl,5f7e,1.2787082018691143,15.136555656242734,True,True
71,5gks,5i1e,5.829030760716141,6.452419561656627,True,True
72,2d7t,6ss0,5.203455038331502,5.770166776839961,True,False
73,1rz7,7jxc,7.687579013821582,7.841111010668116,True,True
74,3u7w,5wl2,5.21137634021714,9.375122262620845,True,True
75,5i1i,6dzr,11.734455975086787,3.9913436846627137,True,True
76,4nug,5ibt,8.83982885686991,9.498797623891969,True,True
77,1fgv,2a9m,6.6738464958958446,3.9097907350665264,True,True
78,4qhn,5ibt,7.688724813505326,10.254323526114128,True,True
79,5i1d,6u8c,1.6863203703927563,20.137003646275332,True,True
80,3naa,6v4q,3.9060562764463116,6.499532073484866,True,True
81,4ptt,6l8t,12.148600019009391,10.537130228234302,True,True
82,4m5y,5v7r,6.936980343713142,5.228896070060452,True,True
83,3qos,6vi2,9.72310558548875,12.12902195820446,True,True
84,1rz7,5wk2,2.7720526472104114,15.05637468639227,True,True
85,7jxc,7lyw,10.156782101445812,6.7914729744393245,True,True
86,1wt5,7lud,4.244937874526993,2.8703081869951386,True,True
87,5gs1,5nyx,6.664894547998303,14.557926195895226,True,True
88,5tgb,5wcc,6.647158550604536,10.139312290168316,True,True
89,3naa,7lsi,7.060013043875167,4.436077531935082,True,True
90,3inu,4x0k,5.354513830346785,3.684891941976045,True,True
91,4fqq,6wj0,8.91269678955253,7.405526988595312,True,True
92,2aj3,6qbc,5.592141441204568,5.7120802144569325,True,True
93,4fq2,6p9j,6.102371225213401,12.134342085403881,True,True
94,4nwt,5i18,9.711828926301678,0.6478302480140036,True,True
95,4hqq,5ur8,3.734727526509213,5.8495176617958915,True,True
96,4p9m,5awn,6.3681176851219154,4.361943289231828,True,True
97,6q1j,6tul,11.934571630351883,3.605180057407047,True,False
98,1fgv,6w73,4.144512974158574,5.431757975025383,True,True
99,1fgv,3qo1,5.552762896185105,11.101948230768803,True,False
100,3qeg,5c2b,6.7666535015009455,6.0337321466144145,False,True
101,4r7d,6b0w,6.207690306814,8.011422521076325,True,True
102,5w1g,6oc7,7.9396439033813095,17.68243006184244,True,True
103,3zl4,4ocr,8.882784713017225,6.863550163759056,True,True
104,4fq2,6tul,12.86864155794523,11.027670925274718,True,False
105,6dla,7dc7,6.4947627263121595,9.658854565328564,True,True
106,4xml,5wkz,3.7478661246476306,12.402416369649266,True,True
107,3qeg,4jpi,6.939850390138105,8.839096578663074,False,True
108,1wt5,6mfj,5.0475381723729935,12.005451408130254,True,True
109,6dwc,6q1k,11.807476445032615,16.211296293507495,True,True
110,2hff,6mtr,8.284260301921952,6.595198956314456,True,True
111,4qf1,6qbc,1.886801208084234,3.780406818886529,True,True
112,5cex,7mf7,5.869428916068517,6.116359383547776,True,True
113,2pr4,5trp,5.474455282905437,11.708859438497978,False,True
114,4hqq,6ss0,4.222363903501657,6.1715290344999465,True,False
115,6p9j,6tkb,10.10385146630358,4.880567995781906,True,False
116,4eow,5trp,6.1281890215294235,11.040867669930922,False,True
117,3kym,5f89,7.36788832165041,12.533370941175386,True,True
118,5aze,5jrp,8.344605176212653,12.483234088530793,True,True
119,4nzu,6gc2,8.934048175204508,1.1868824505790656,False,True
120,1qlr,6oed,3.0341864803693674,3.008354794760194,False,True
121,2xza,5drx,7.576637869546755,11.911660505644099,True,True
122,4kq3,4lrn,15.291826605657677,13.165507947286484,True,True
123,3hc0,3qhf,8.05064765931133,5.939327005860264,True,True
124,5mp6,5uy3,13.611021642633958,10.26419342477281,True,True
125,5i1j,6btj,8.515671674184016,0.7150575982704068,True,True
126,2d7t,4jy5,13.378402385584947,16.071773217841614,True,True
127,4hk3,4jy5,7.40342271984722,14.371491071252711,True,True
128,4jam,5y2k,13.323641611108053,9.617499708803466,True,True
129,5tfs,6mtx,6.822856376960092,10.612383071539467,True,True
130,6dc4,6p9j,5.478191136223708,5.177760529568985,True,True
131,6wyt,7lyv,4.289440528650342,14.232729670812105,True,True
132,5v7u,6al4,4.490047860007313,3.699817646336739,True,True
133,3aaz,6dzn,5.838998235196257,12.135420152275147,True,True
134,4gxv,6mty,6.005160622461526,3.8541051818072027,True,True
135,5adp,5wca,12.054943188312317,2.7284395941727553,True,True
136,5fuz,6wiy,9.621728340064482,1.1363472383371074,True,True
137,4llv,7dun,5.501713822116591,5.890378296785692,True,True
138,1za6,5tqa,10.171957756959818,13.294269696369136,True,True
139,4jpi,5ik3,8.399610993596669,17.081535957383938,True,True
140,1rzf,3qeg,3.0589427482881546,4.570179233987075,True,False
141,3u46,4ut7,5.617802252521665,10.886454355764705,True,True
142,4od3,5tpp,6.302322240650663,4.425646056986042,True,True
143,2fb4,3hc3,9.731456625134543,5.408418391145157,True,True
144,5odb,6p9i,4.035890346462832,10.769657144616046,True,True
145,4xcc,5f6h,9.03151659424858,4.5086348281406545,True,True
146,3eyo,5i1e,3.0567532577091705,2.6594473888082555,True,True
147,4fqh,4kq3,5.373350128324275,5.851439718479456,True,True
148,4r4b,6ell,6.268682312072251,11.737232071103595,True,True
149,5ur8,6q1g,7.537321431083376,8.19145583453204,True,True
150,4gw4,6n32,5.611899980106448,15.500172859675466,True,True
151,4nzu,5bzd,5.687846357929005,3.889107379415003,False,True
152,4m5y,5uel,6.4885439911431595,5.812196985421128,True,True
153,5tgb,6phg,4.940881283873164,12.5083100191257,True,True
154,5waw,6ell,9.235874878192375,11.407841774234711,True,True
155,5fhb,5n4j,10.996809640328644,9.104777236059832,True,True
156,4yhl,6b6z,2.2972468608420034,21.13678656651906,True,True
